venueType	venueTypeLabel	venueTypeDescription	curation
Q130483146	Long fronton	tipo de frontón utilizado en la especialidad de cesta punta	
Q60607693	Q60607693	building in Stockholm Municipality, Stockholm County, Sweden	
Q65091711	costume shop	a place where costumes are designed, built, and stored	
Q3634806	proscenium theater box	theater box located immediately to the side of a stage in front of the proscenium	
Q1662417	infinity pool	pool designed like it has no edges	
Q1376606	natural pool	künstliches Stillgewässer häufig als Folienteich	
Q60626570	Orsa Hill	one of the central parts of Skansen fere you can find the maypole, the Dala horses	
Q336514	sylvan theater	outdoor theatre in a sylvan or otherwise green surrounding	
Q19709007	Finnish track	soft natural running track originating from Finland	
Q201946	black box theater	simple, somewhat unadorned performance space	
Q116750070	Krogsfallsgården	museum building	
Q60864500	Flower garden		
Q1065656	health club	place which houses exercise equipment for the purpose of physical exercise	
Q625797	domed stadium		
Q2326597	Kommunale Badeanstalt	Schwimmbad, das sich in der Regel im Besitz der jeweiligen Gemeinde oder Stadt befindet	
Q20799426	Q20799426		
Q29696040	Q29696040		
Q16620760	multi-sports venue	room for practicing many different sports	
Q99189268	climbing wall	German climbing play area	
Q2022036	golf club	club organized to play golf	
Q27951514	indoor arena	arena covered by roof and walls	
Q7836169	Traverse stage	style of theatre seating or performance	
Q13586493	outdoor swimming pool	swimming pool located outdoors	
Q1544656	green room	space in a theatre or similar venue that functions as a waiting room and lounge for performers	
Q4801491	Arts and Culture Centre	a system of arts centres in the province of Newfoundland and Labrador, Canada	
Q60636169	Q60636169	building in Stockholm Municipality, Stockholm County, Sweden	
Q121071714	terrain de horse-ball	type d'équipement sportif	
Q27106886	public swimming pool	swimming pool designated for public use and typically maintained by some government authority	
Q121071320	terrain de boules traditionnelles	type d'équipement sportif	
Q126004612	noh stage		
Q16534385	budōkan	dōjō used in budō	
Q26253134	Motjärnsgruvan, Skansen		
Q60791717	pannier market	Indoor market hall	
Q114136425	indoor surfing centre		
Q2945053	contemporary arts centre	centre focusing on contemporary art	
Q128829326	Q128829326		
Q60228228	Vaktstugan	building in Stockholm Municipality, Stockholm County, Sweden	
Q2775778	Soarin'	flight motion simulator attraction at Disney parks	
Q131415018	long-distance hiking trail	long trail used for walking or backpacking	
Q123999614	500-seat club building by Konstantin Bartoshevich	1947 reference design of a workers' club	
Q123999629	300-seat club building by Konstantin Bartoshevich	1947 reference design of a workers' club	
Q119841641	unmarked hiking path	hiking path that is not signed on the ground	
Q16641149	grain hall	type of historical building in France for storing wheat	
Q2309278	Sperrsitz	Bezeichnung für eine Sitzplatzkategorie im Theater, Kino oder in anderen Veranstaltungsräumen	
Q11562912	heated pool		
Q131425067	Isle 80	théâtre à Avignon, Vaucluse, France	
Q636819	archaeological open-air museum	non-profit permanent institution with outdoor true-to-scale architectural reconstructions	
Q1889121	Manege	Ort einer Zirkus-Vorführung	
Q1236282	Dolomites High Route	high altitude footpath, Dolomites	
Q1702340	Naturbad	Badeanlage unter freiem Himmel	
Q121071424	domaine de ski alpin	type d'équipement sportif	
Q117478766	mogul course		
Q117479054	aerial skiing slopes		
Q1919198	dry marina		
Q121085067	canoeing venue	type d'équipement sportif	
Q85893376	tapestry museum	art museum specializing in tapestries	
Q14213738	Di's Cracks	group of offshore dive sites off Karbonkelberg on the Cape Peninsula west coast	
Q8524	association football pitch	rectangular area where association football is played	
Q504400	gymnasium	ancient Greek training facility	
Q11948177	Sendero Local	type of hiking path in Spain	
Q130485312	outdoor fronton		
Q56063976	Jewish country club	history of Jewish country clubs	
Q2634857	green	golf course component	
Q1443808	oceanarium	marine mammal park	
Q108934671	Q108934671		
Q57901156	mini skate-park		
Q5136446	Club skifield		
Q14213911	Steenbras Deep Ridge	offshore dive site in eastern False Bay, Western Cape, South Africa	
Q121085383	terrain de soccer	type d'équipement sportif	
Q11425913	buried cultural property center	Wikimedia-Begriffsklärungsseite	
Q3497359	Station alpine		
Q3768550	plaster cast gallery	place in which are stored plaster casts of statues	
Q1251808	Lartigue Monorail	type of monorail, named after its inventor Charles Lartigue	
Q21085951	Q21085951		
Q118773689	cyclocross track		
Q17209357	Q17209357		
Q12045647	floating swimming pool	non-land-locked pool that sits on a river, ocean, or lake	
Q131747227	heated seawater pool		
Q126127596	seven-a-side football pitches in Hong Kong		
Q3363945	archaeological park	archeological site that has been preserved in a park setting and opened for public visitation.	
Q30005002	endless runway	Type of Runway	
Q121071387	équipement et piste de ski	famille d'équipements sportifs	
Q2554905	natural ice rink		
Q51601018	fisheries site	type d'équipement sportif	
Q7673475	Tabletop runway	Runway on hill with steep edges	
Q121085241	salle de trampoline	type d'équipement sportif	
Q2287948	Six Flags Hurricane Harbor	water park chain	
Q28453818	Laykold	tennis court surfacing	
Q105545089	cross-country skiing area	auf den Skilanglauf ausgerichtetes Wintersportgebiet	
Q131431666	soccer golf course	course on which soccer golf is played	
Q1231888	diocesan museum	type of museum	
Q15060435	marine mammal park	commercial theme park where marine mammals are kept	
Q109321319	BMX race track	track for BMX racing	
Q194428	stage	designated space for the performance of productions	
Q1509633	Natatio	Schwimmbecken in der römischen Antike	
Q60614448	Q60614448		
Q123615651	outdoor pull-up bar		
Q61046077	Q61046077		
Q3621807	proscenium arch	area around the proscenium, the vertical plane at the front of a theatrical stage	
Q649832	Orchestra		
Q1740829	Kicker (Sprungschanze)	bosse permettant de réaliser des sauts à ski.	
Q56148365	tiring house	portion of the backstage area of a theater used for dressing rooms, storage, and the like	
Q122459894	Q122459894		
Q128778199	Q128778199		
Q128778304	Q128778304		
Q121072382	swingolf	type d'équipement sportif	
Q5308013	driver development program	System designed for young racing drivers to perfect their racing skills	
Q120169931	terrain mixte		
Q1454583	masonic temple	room or structure where a Masonic Lodge meets	
Q116787534	Math walk	An educational walk where experiences and objects are translated into mathematics	
Q128778509	flying hill	size class of a ski jumping hill	
Q121085167	salle de handball	type d'équipement sportif	
Q18225059	Italian theater	performance hall designed according to the Italian architectural style	
Q6736226	mainstage	the largest or most prestigious space of a theatre building	
Q125815177	Museo de Arte de Baja California Sur (MUABCS)	museo dedicado a la difusión del arte y la cultura	
Q106581364	polo field	playing field for polo team sport	
Q128778091	Q128778091		
Q3498109	ice hockey arena	sport venue in which an ice hockey competition is held	
Q105491048	synthetic ice rink		
Q1352795	cinematheque	organization that preserves and presents film	
Q24091478	butokuden	dojo au Japon	
Q12019965	indoor ice rink	covered ice rink	
Q118735823	aire de sports de glace sportive	type d'équipement sportif	
Q118735878	aire de sports de glace ludique	type d'équipement sportif	
Q131161047	Panobianco	Brazilian fitness center chain	
Q2360834	smashcourt		
Q123328696	zones d’embarcations légères		
Q10492745	event arena	Swedish classification of a sporting venue designed to accommodate at least one other event type	
Q131538088	minka-en		
Q1367719	Eskaladierwand	Hindernisbahnen des Militärs, der Feuerwehr und der Polizei	
Q778020	dog track	racing circuit for dogs	
Q2683517	themapad	former type of hiking path in the Netherlands	
Q102128035	Incognitologe	German expression theater box used by a sovereign incognito.	
Q2351435	Q2351435		
Q11954718	Vies Verdes de Girona		
Q14213846	Pie Rock	group of offshore dive sites near Castle Rocks on the Cape Peninsula east coast	
Q891698	Bolzplatz	non-standard association football pitch	
Q121085299	terrain de paddle	type d'équipement sportif	
Q2814066	comedy club	a venue, typically a nightclub, bar, or restaurant where people watch or listen to performances, including stand-up comedians, improvisational comedians, impersonators, magicians, ventriloquists and other comedy acts	
Q1669845	Museumstramway Mariazell	railway line in Austria	
Q10418854	Q10418854		
Q11481836	Q11481836		
Q121085022	freestyle BMX venue	type d'équipement sportif	
Q11528570	Q11528570		
Q2073106	Olympic Park	sports campus for hosting the Olympic Games	
Q50079928	luge track	natural or artificial track used for luging	
Q68147615	Sunnanåshärbret, Delsbogården	building in Sweden	
Q121085205	salle de tennis de table	type d'équipement sportif	
Q121085199	salle de patinage sur roulette	type d'équipement sportif	
Q121085178	salle de lutte	type d'équipement sportif	
Q121085244	salle de volley-ball	type d'équipement sportif	
Q121085249	salle d'échecs	type d'équipement sportif	
Q121085256	salle d'escrime	type d'équipement sportif	
Q121085263	salle d'haltérophilie	type d'équipement sportif	
Q121085278	salle ou terrain de squash	type d'équipement sportif	
Q11487113	kyūdōjō		
Q121085203	salle de raquetball	type d'équipement sportif	
Q18692717	bobsleigh track	Fahrstrecke im Bobsport	
Q29557595	Orel house		
Q3801631	trap room	space below the stage floor in a theater	
Q60627249	Saddler’s Workshop	workshop equipped with leather-working tools from the end of the 19th century.	
Q17240246	Q17240246		
Q60627231	Engraver’s Workshop, Skansen	workshop at the museum Skansen, tools and equipment come from various engravers in Stockholm	
Q1431210	foyer	lobby, corridor, or waiting room, used in a theater, cinema, concert hall etc.	
Q3257871	dressing room	room in a theatre, for artists' change of clothing and preparations	
Q10857271	Q10857271		
Q2990531	complexe sportif évolutif couvert		
Q11346897	Q11346897		
Q11553841	Q11553841		
Q1326247	elephant house	type of building used to keep elephants	
Q595452	baseball venue	park used to play the game of baseball	
Q3064056	face		
Q60614621	Hotade Stockholmsväxter, Skansen		
Q85588551	Musikpaviljong vid Solliden	building in Sweden	
Q101224664	settlement house	urban institution that provides services to recent immigrants and the underprivileged	
Q113634158	Bakery, Skansen		
Q113135545	Bunge schoolmuseum		
Q1115316	prompt corner	Kommunikationsgerät im Theater	
Q2130331	footlight	part of stage lighting	
Q121085323	salle ou terrain de badminton	type d'équipement sportif	
Q121085343	terrain de quilles	type d'équipement sportif	
Q121085371	terrain de balle au tambourin	type d'équipement sportif	
Q121076117	cascade de glace	type d'équipement sportif	
Q121071372	piste de kart	motorsport racing track	
Q1486662	GR footpath	long-distance footpath	
Q2137251	rowing and canoeing venue	sports venue for rowing and canoeing events	
Q121085409	équipement équestre divers	type d'équipement sportif	
Q121085378	salle ou terrain de jorkyball	type d'équipement sportif	
Q121085380	terrain de ballon au poing/long paume	type d'équipement sportif	
Q124317935	Q124317935		
Q121085156	Tanzsaal	type d'équipement sportif	
Q3654642	Q3654642		
Q115349872	sentier de grande randonnée 96	itinéraire de randonnée en France	
Q128778264	Q128778264		
Q10512405	guest harbor	a harbor with moorings for temporary visiting recreational boats	
Q29380643	Abgusssammlung	art-historical or archeological collection, usually for education, where copies, usually of gypsum, of art works are collected and shown	
Q64722124	Ancient Greek stadium	pista de atletismo en la Antigua Grecia	
Q3330834	egyptological museum	tipo de museo especializado	
Q30752692	Stade de neige	type de station de sports d'hiver ne disposant pas de logement	
Q18694092	Q18694092		
Q41334004	large hill	ski jumping hill with K-point between 100 and 130 metres	
Q67894705	Way of St. James - Variant 'Heart of the Douro'	Way of Saint James in Pinhão, Douro Valley, Portugal	
Q7378324	rugby league playing field	pitch for playing rugby league	
Q121084884	canyon	type d'équipement sportif	
Q782667	road runway	section of existing road, highway, or motorway, that is specially built (or adapted) to allow take-off and landing of (primarily) military aircraft in times of emergency resulting from damage to nearby permanent airbase runway	
Q7042790	no-line court	tennis court with areas defined by colors instead of white lines	
Q55463907	nordic ski area	domaine skiable consacré au ski nordique	
Q182886	artificial whitewater	sports venue	
Q2728342	beach field		
Q677322	Turnierplatz	venue for horse jousting	
Q100148158	9-hole golf course	golf course having 9 holes	
Q123735305	Eastern Star lodge	Masonic lodge	
Q130485378	indoor fronton		
Q1778498	Kohlebahn Meuselwitz–Regis-Breitingen	railway line in Germany	
Q16311886	Q16311886		
Q12193401	Scout camp	campsite used for Scout events	
Q121085075	canoe polo pitch	type d'équipement sportif	
Q121085056	water skiing venue	type d'équipement sportif	
Q121085374	salle ou terrain de paintball	type d'équipement sportif	
Q17157259	field hockey pitch	playing surface in field hockey	
Q109017987	Centre d'art contemporain d'intérêt national	label artistique français	
Q3266345	alpine slide	long chute on the side of a hill	
Q11698842	Pequeño Recorrido	sendero homologado de corta distancia de España	
Q11573504	Q11573504		
Q10575168	Q10575168		
Q740437	picture gallery	public art gallery	maybe
Q57660343	performing arts building	building designed for live performances	maybe
Q1137210	country club	private club typically offering recreational sports and entertainment facilities	maybe
Q3469910	performing arts center	facility primarily intended for the performing arts and that may consist of several performance spaces along with other multi-purpose event spaces	maybe
Q111889841	university art museum	art gallery or museum at a university or college	maybe
Q110811156	festival hall	multi-purpose event venue, usually municipally owned	maybe
Q85833489	banquet hall	large room, hall, or apartment designed or used for festive or state functions	maybe
Q4155954	Palace of Sports	Wikimedia disambiguation page	misclasified
Q112619503	Killarney Mountain Lodge & Conference Centre	hotel in Killarney, Ontario, Canada	misclassified
Q653695	Displaced threshold	aviation term	misclassified
Q111079628	heritage farm	farm maintained in the same way as in olden days	misclassified
Q104864894	Wavelight	pace-setting technology used in running	misclassified
Q1774225	climbing rock	individual rock formation, rock face or rock group on which climbing is permitted	misclassified
Q26944319	Pabellón de España	Wikimedia disambiguation page	misclassified
Q1427951	climbing wall	artificially constructed structure with grips for sport climbing	misclassified
Q120754644	Gërmia swimming pool	swimming pool in Kosovo	misclassified
Q119421117	art museum curator	profession	misclassified
Q124077190	La Casa del Handball Argentino	sporting arena in Buenos Aires	misclassified
Q1207721	genkan	traditional entryway area in Japanese buildings	misclassified
Q66036711	Estadio Independiente MRCI	Estadio de futbol ubicado en San Jerónimo Tlacochahuaya, Tlacolula, Oaxaca, México	misclassified
Q3926588	Quadreria	art collection from 17th century	misclassified
Q102440024	Q102440024	Wikimedia list article	misclassified
Q12397254	Pavillón do Gatañal	building in Cangas, Spain	misclassified
Q88075768	section	part of a hiking trail	misclassified
Q113291672	CineScope	Mini theater in Bangladesh	misclassified
Q8341875	Casal Català de Montevideo		misclassified
Q475699	Way of St. James	itinerary	misclassified
Q11279146	Minato Oasis		misclassified
Q5667884	Círculo Catalán de Madrid	organization	misclassified
Q3217985	Larra-Belagua		misclassified
Q769713	café-théâtre	theatrical genre	misclassified
Q125801404	Hakata Promenade of History	open-air museum along Taihaku Dōri in Hakata-ku, Fukuoka City, Japan	misclassified
Q1901057	Market halls in Berlin	Wikimedia list article	misclassified
Q1974804	paranymph	ceremonial assistant or coach in a ceremony	misclassified
Q382350	monkey house	facility in the zoo for monkeys	no
Q2447721	trades hall	building where trade unions meet together, or work from cooperatively, as a local representative organisation	no
Q1773623	School gymnasium		no
Q7361066	roller rink	hard surface used for roller skating or inline skating	no
Q56611604	Toboggan run	path or track for tobogganing (sledding)	no
Q8719053	music venue	any location used for a concert or musical performance	no
Q23764314	sports location	site where a sport is practiced, whether dedicated to it or not	no
Q16889960	circus building	venue for circuses	no
Q131319895	Multi-purpose Trail	type of trail	no
Q3094839	cockfighting arena	arène dans laquelle sont organisés les combats de coqs	no
Q3034650	ski area	skiable area linking several distinct ski resorts	no
Q31244	big top	large tent for hosting shows such as circuses	no
Q55517457	cinema in Erfurt	overview about the situation of cinemas in Erfurt	no
Q121085144	salle de culturisme	type d'équipement sportif	no
Q13405588	long-distance trail	long trail used for walking, backpacking, cycling, horse riding or cross-country skiing	no
Q877435	box office	place where tickets are sold to the public for admission to an event	no
Q7257998	public swimming pool in Hong Kong	Hong Kong swimming venues	no
Q121085044	water sports venue	famille d'équipements sportifs	no
Q28057204	Sportfondsenbad	type of swimming pool funded by stockholders	no
Q3389223	piscine Tournesol	type of French public swimming pool	no
Q26944969	photography museum	museum of photography	no
Q2281788	public aquarium	facility with large tanks for water-dwelling species	no
Q381395	Patent theatre	lizensierte Theater in London	no
Q83196582	kernpodium	type of cultural institution, music venue, in the Netherlands	no
Q2974115	circular path	tourist route closing into a loop	no
Q7361053	roller disco	skating rink for dancing on roller skates	no
Q130528096	indoor sports facility		no
Q130240046	Portable bullring		no
Q3654644	roller hockey field		no
Q10425989	indoor bandy venue	indoor facility intended for playing bandy	no
Q3177122	driving range	type of golf course	no
Q47525089	sports pavilion	building providing facilities for users of sports grounds	no
Q2338524	motorsport racing track	race track for motor vehicles	no
Q108861021	folk art museum	type of museum	no
Q4008851	short course	a swimming pool that is 25 metres length	no
Q121084874	terrain de handball	type d'équipement sportif	no
Q121085015	cycling & skateboarding venue	famille d'équipements sportifs	no
Q1501	swimming pool	excavation or containment structure filled with water and used for swimming	no
Q121085421	plaine de jeux	type d'équipement sportif	no
Q121076060	salle de combat	famille d'équipements sportifs	no
Q121076041	pas de tir	famille d'équipements sportifs	no
Q121071747	équipement d'athlétisme	famille d'équipements sportifs	no
Q121071452	équipements d'activités de forme et de santé	famille d'équipements sportifs	no
Q121085599	club de plage	type d'équipement sportif	no
Q121085588	but/panier isolé de sport collectif	type d'équipement sportif	no
Q121076051	plateau EPS / multisports / city-stade	type d'équipement sportif	no
Q701629	batting cage	enclosure for baseball batting practice	no
Q26707613	volleyball court	surface used to play volleyball	no
Q2064236	fronton	type of court	no
Q101155823	Quiosco de la música en la Plaza de Cervantes, Alcalá de Henares	structure designed to accommodate bands during concerts in Alcalá de Henares	no
Q118493267	roundtrip hiking trail	hiking trail that starts and ends in the same point	no
Q127420043	Parkour park	Parkour facility	no
Q1004435	athletics track	running tracks found in track and field stadia	no
Q116612464	Probaleku	Venue for Basque stone-dragging sports	no
Q1076486	sports venue	facility (building, structure, or place) dedicated to sports	no
Q17051413	Main Hall	main building in Japanese buddhist temples	no
Q121085116	salle ou terrain spécialisé collectifs (hors plateaux EPS/multisports)	famille d'équipements sportifs	no
Q121076070	divers équipements sports de nature	famille d'équipements sportifs	no
Q23764086	site where canyoning is practiced		no
Q3476585	Scène nationale	"theatre deisgnated as a ""National Stage"" in France"	no
Q5888141	Home	chain of nightclubs	no
Q121085064	rowing venue	type d'équipement sportif	no
Q121084931	site de char à voile	type d'équipement sportif	no
Q121084914	piste de pulka / traineau à chiens	type d'équipement sportif	no
Q121084906	parcours fixe de course d’orientation	type d'équipement sportif	no
Q121084901	parcours de chasse / en campagne	type d'équipement sportif	no
Q121084893	parcours acrobatique en hauteur/site d'accrobranche	type d'équipement sportif	no
Q121085138	salle de beach-volley	type d'équipement sportif	no
Q121084887	équipement pour saut à l’élastique	type d'équipement sportif	no
Q121084854	terrain de beach-volley	type d'équipement sportif	no
Q721207	marina	yacht harbor	no
Q2290113	boxing ring	space in which a boxing match occurs	no
Q125134099	Scherenbahn	26,75 m lange Kegelbahn	no
Q93954502	indoors ice oval	ice rink for speed skating located indoors	no
Q13731184	artificial ice rink		no
Q121085085	tank à ramer	type d'équipement sportif	no
Q121085079	point d'embarquement / débarquement isolé	type d'équipement sportif	no
Q121085070	stade mixte	type d'équipement sportif	no
Q121085048	baignade aménagée	type d'équipement sportif	no
Q121085046	site d'activités aquatiques et nautiques divers	type d'équipement sportif	no
Q121085010	site de modèle réduit (motonautisme)	type d'équipement sportif	no
Q121076066	salle de boxe	type d'équipement sportif	no
Q121085007	site d'aéromodélisme	type d'équipement sportif	no
Q121085000	site de modélisme automobile	type d'équipement sportif	no
Q121084989	site de glisse aérotractée	type d'équipement sportif	no
Q121084986	piste ULM	type d'équipement sportif	no
Q121084983	site d'aérostation	type d'équipement sportif	no
Q121084972	aire d'atterrissage	type d'équipement sportif	no
Q121076129	espace de pratique spéléologique	type d'équipement sportif	no
Q121085004	site de voile radio commandée	type d'équipement sportif	no
Q121076045	pas de tir à la cible	type d'équipement sportif	no
Q121076127	site de blocs d’escalade	type d'équipement sportif	no
Q121076042	pas de tir à l'arc	type d'équipement sportif	no
Q110207144	tanguería	type of nightclub dedicated to tango music typical in Argentina and Uruguay	no
Q121071975	aire de lancer	type d'équipement sportif	no
Q121071646	bassin d'exercices aquatiques	type d'équipement sportif	no
Q121071543	salle de cours collectifs	type d'équipement sportif	no
Q121071376	terrain de moto-ball	type d'équipement sportif	no
Q121071369	terrain de trial	type d'équipement sportif	no
Q121071361	courses sur piste	type d'équipement sportif	no
Q121071355	circuit de vitesse	type d'équipement sportif	no
Q121076111	boucle de randonnée	type d'équipement sportif	no
Q7145021	Patinodrome	arena for inline speed skating	no
Q121076047	pas de tir aux plateaux	type d'équipement sportif	no
Q2399482	techno club	specific type of a discotheque	no
Q13380226	tennis venue	outdoor stadium or indoor venue mainly used for tennis	no
Q27970155	tennis center		no
Q5166587	Convincing Ground	Australian name for a place where sports were contested, used in place names	no
Q126727687	cinema hall	hall used for film screenings	no
Q63493660	music club	club that plays music	no
Q200023	swimming center	building containing a swimming pool	no
Q3083079	live house	type of live music club in Japan	no
Q11342368	mini theater	type of independent movie theater	no
Q1759559	heya	training stables in professional sumo	no
Q121085103	dispositif de franchissement	type d'équipement sportif	no
Q42051630	Windmill Offshore Reefs	offshore dive sites near Seaforth on the Cape Peninsula east coast	no
Q1153108	multiplex	movie theater complex with multiple screens	no
Q49101311	curling sheet	playing surface in curling	no
Q131547491	boxing venue	area in which the sport of boxing is played	no
Q55611636	figure skating rink	ice rink designed for figure skating	no
Q125822539	bouldering gym	sports venue for bouldering on artificial climbing walls	no
Q50418254	outdoor concert venue		no
Q123485131	nightclub in disused industrial building	nightclub in a large building with typically high ceilings, often former industrial or storage halls	no
Q41768265	shoreline dive site	dive site which is contiguous with the shoreline	no
Q957394	dry ski slope	ski slope that mimics the attributes of snow using materials that are stable at room temperature	no
Q41334405	normal hill	ski jumping hill with K-point between 75 and 99 metres	no
Q100997667	street-workout park	outdoor gym with street workout equipment	no
Q47522472	asphalt tennis court		no
Q121085100	zone de mouillage	type d'équipement sportif	no
Q1330871	hardcourt	type of tennis court	no
Q389191	afterhours club	Nightclub open past curfew closing time	no
Q121072128	trinquete	type of sports equipment, building containing a closed and covered quadrangular playing area, used for playing pelota	no
Q15411990	indoor water park	type of water park	no
Q47521078	disc golf course	place to play disc golf	no
Q1109069	ski jumping hill	venue used for ski jumping	no
Q849854	European long-distance path	list of long distance hiking paths	no
Q57549326	roller skating facility	surface for the practise of roller skating	no
Q2270715	Gran Recorrido footpath	long-distance footpath in Spain	no
Q3141488	terrain park	outdoor recreation area for snow sports	no
Q1566712	Ski route	unprepared ski run	no
Q121071997	aire de saut	type d'équipement sportif	no
Q74539696	defunct sports venue	former sports venue	no
Q117031999	wood court	type of tennis court	no
Q336078	sex club	establishment allowing sexual activity between members	no
Q10536908	ice rink	icy road tracked in various sports	no
Q14213718	Caravan Reef	group of offshore dive sites near Miller's Point on the Cape Peninsula east coast	no
Q14092	gymnasium	building designed and equipped for athletics and fitness	no
Q104833810	Black and Tan club	early 20th century club in the United States catering to the black and mixed-race population	no
Q94493071	campground amphitheater		no
Q1228895	discothèque	building, where dance events take place; nightclub playing disco music	no
Q1281401	temporary sports venue		no
Q830528	velodrome	track intended for track cycling	no
Q1454553	outdoor cinema	movies shown outdoors	no
Q198718	clay court	type of tennis court	no
Q5269258	Dharma centre	non-monastic Buddhist centre in a community	no
Q5445959	Fetish club	adult-only sex club	no
Q128654790	ski jumping complex	two or more ski jumping hills located in the same place	no
Q49459835	fraternal hall	community building operated by a fraternal or veterans organization primarily for the benefit of its members	no
Q4220910	mobile cinema	Kinobetrieb an wechselnden Orten	no
Q6926878	movie palace	Type of movie theater	no
Q112231820	Dali museums	museums with art  by Salvador Dali	no
Q2494389	Unikino		no
Q126195053	sculpture museum	museum of sculpture	no
Q57997672	mixed martial arts training facility		no
Q107724136	wedding venue	place to hold a wedding	no
Q11322155	training gym		no
Q11982370	artist's-home museum	type of museum, in the former home of an artist	no
Q42811873	military obstacle course	obstacle course in a military installation	no
Q740326	water park	amusement park that features pools with water play areas	no
Q2164271	Middellange-Afstand-Wandelpad	type of hiking path	no
Q37025296	athletics stadium		no
Q11341528	comics museum	museum with comics as the primary topic	no
Q90808178	furniture museum	building or space for the exhibition of furniture art	no
Q17000320	theatre museum	type of museum	no
Q24698650	bourloire	place for bourle	no
Q641553	thrust stage	open stage	no
Q1791479	Kulissenbühne		no
Q1622566	text box	compact stage for live spoken literature such as slam poetry, reminiscent of a glass speaker booth: the audience gathers around the text box and listens to the poets performing through headphones	no
Q1994728	subtropical swimming paradise		no
Q7094057	online art gallery		no
Q6889733	Modular stadium		no
Q41768046	inshore dive site	dive site that can reasonably be accessed from a shore entry but is not immediately adjacent to the shore	no
Q357121	dragstrip	Car racing facility	no
Q17149955	showboat	floating theater	no
Q125946429	Underage club	type of entertainment venue or nightclub	no
Q105755471	stadium with football pitch	stadium that has a pitch that can be used to play association or rugby football	no
Q108860927	contemporary art museum	type of museum	no
Q55634866	teen center	community center serving adolescents in a community	no
Q622425	nightclub	entertainment venue which usually operates late into the night	no
Q7979077	wedding chapel	chapel to hold a wedding	no
Q51167626	LGBT nightclub	dance club or disco targeting a gay, LGBTQI and gay/LGBTQI-friendly audience	no
Q3120628	guinguette	French drinking establishment	no
Q6586445	strip club	venues that regularly provide adult entertainment, predominantly in the form of striptease or other erotic or exotic dances	no
Q2990473	cinema complex	type de lieu culturel regroupant plusieurs salles de cinéma	no
Q14213821	Miller’s Point	group of shoreline dive sites at Miller's Point on the Cape Peninsula east coast	no
Q423504	news cinema	cinema specialising in short films, shown in a continuous manner, mostly used for news, often in train stations	no
Q626687	boules pitch	venue for playing boules	no
Q131183	cabaret	venue for a mixed variety show of music & theatrical revue	no
Q1058828	Off-Broadway	any professional venue in NYC with a seating capacity between 100 and 499	no
Q877979	young spectator's theatre	type of theatre originated in the Soviet Union and post-soviet contries	no
Q121082449	former indoor ice rink	indoor ice rink which has fallen into disuse or been converted to an alternative use	no
Q131644805	Blues club	type of club, music venue, dedicated to Blues music	no
Q27961526	Darbar Sahib Hall	main hall within a Sikh gurdwara	no
Q31157863	skiing stadium		no
Q124010365	National Hall (Narodni dom)	Cultural Centers of the slavic language community in Austria-Hungary	no
Q1751323	indoor ski slope	climate controlled environment in which snow is manufactured using a snow cannon	no
Q14213836	Partridge Point	group of inshore dive sites at Partridge Point on the Cape Peninsula east coast	no
Q6664710	Locals casino	casino designed to attract local residents	no
Q33058267	Düğün Salonu	Turkish wedding hall	no
Q667018	wax museum	museum displaying a collection of wax representations of famous people	no
Q11378967	Ise Sangū Kaidō		no
Q45289444	rugby union field	playing surface for a rugby union match	no
Q93954013	outdoors speed skating ice rink without shelter	type of ice rink	no
Q93954332	outdoors sheltered ice rink	type of ice rink	no
Q25183395	textile museum	museum specializing in textile arts	no
Q42034610	IMAX theatre	movie theatre using the IMAX film format	no
Q114898020	Piscine Iris	type de piscine publique française	no
Q7338100	Riverboat casino	casino on a riverboat	no
Q6806841	Medieval Times	family dinner theater	no
Q1273907	adult video arcade	group of pornographic movie viewing booths	no
Q57659763	animal exhibition building	exhibition building used specifically for exhibiting animals	no
Q50080181	artificial luge track	track for luge competitions, with or without artificial refrigration	no
Q92331870	school gymnasium	subconcept of School facilities (scot/10140)	no
Q1154710	association football venue	sports venue purposed mainly for association football (or soccer)	no
Q805353	ballroom	large room for formal dancing	no
Q2315928	ice hockey rink	rink for the purpose of playing ice hockey	no
Q10855239	kyōteijō	boat racing facility in Japan	no
Q27650858	flat racing venue	type of horse racing venue	no
Q107524840	single-artist museum		no
Q11606865	picture book museum	type of museum; institution that collects and exhibits picture books	no
Q108860593	museum of modern art	type of museum	no
Q1048525	golf course	grounds on which the sport of golf is played	no
Q1747681	artist museum	museum, which is dedicated to a particular artist or their oeuvre	no
Q131340963	Triple gymnasium	larger room, which is made up of three single gyms	no
Q17131062	platform	part of a theatre	no
Q94387222	naumachia	bulding	no
Q45290083	rugby league venue	stade utilisé pour les matchs de rugby à XIII	no
Q12983197	athlectic stadium		no
Q664334	Sea Life Aquarium	Sea Life is a chain of commercial sea life-themed aquarium attractions	no
Q798966	bathing ship	river floating public swimming pool	no
Q1188885	nickelodeon	early movie theater	no
Q16181479	senior center	community center for senior citizens	no
Q41253	movie theater	venue, usually a building, for viewing films	no
Q4101440	pump room	building where mineral water is expended to spa guests	no
Q130003	ski resort	mountainside developed for skiing, snowboarding, and other winter sports	no
Q2292158	Skicircus	Wintersportgebiet	no
Q50080345	natural luge track	track for luge competitions	no
Q2141554	recreational dive site	place that recreational scuba divers go to enjoy the underwater environment	no
Q3389209	piscine Caneton	type de piscine publique française	no
